Nombre;Dirección;Municipio;Código Postal;Teléfono
TORRES COSTA,LOURDES/MATARRANZ TORRES,LAIA           ;CARRETERAPRATS DE LLU�ANES        84-89 (LOCAL B);SABADELL                  ;08208          ;937161383      
BLANCHART CAPDET, MIQUEL                             ;VIA      DE MASSAGUE              40;SABADELL                  ;08202          ;937252577      
GILI SEGURA, MARTA                                   ;PLA�A    DE L'ANGEL               12;SABADELL                  ;08202          ;937251175      
GARRIGA MAJO, ANNA                                   ;PASSEIG  DE LA PLA�A MAJOR        29;SABADELL                  ;08208          ;937255353      
PONS SAMARANCH, ISABEL                               ;PLA�A    MARQUILLES               4;SABADELL                  ;08202          ;937256745      
SEGALAS CARRERAS, M. MERCE                           ;CARRER   RAMBLA                   26;SABADELL                  ;08201          ;937257319      
 POBLET, M.DOLORS                                    ;AVINGUDA BARBERA                  48;SABADELL                  ;08203          ;937101343      
MORALES GUARCH, M.DOLORS                             ;CARRER   RAMBLA                   165;SABADELL                  ;08202          ;937250518      
LLOP TALAVERON, JORDI.J                              ;PASSEIG  DE LA PLA�A MAJOR        58;SABADELL                  ;08208          ;937258945      
GUERRERO BALLESTA, JOSEP M                           ;CARRER   ANGEL GUIMERA            2;SALLENT                   ;08201          ;938370046      
FRANCH MASFERRER,JOSEP                               ;PLA�A    DE LA PAU                3;SALLENT                   ;08206          ;938370022      
ALBEROLA SOLANAS, YOLANDA                            ;CARRER   ANGEL GUIMERA            5;SANTPEDOR                 ;08251          ;938320057      
CLAPES COLLANTES, A�DA                               ;AVINGUDA CATALUNYA                50-52;SANT ADRIA DE BESOS       ;08930          ;933810132      
BOLOS CAUSADIAS, ESPERAN�A                           ;AVINGUDA CATALUNYA                92-94;SANT ADRIA DE BESOS       ;08930          ;933811804      
G�ELL VERDAGUER, GEMMA                               ;AVINGUDA ALFONS I                 27;SANT ANTONI DE VILAMAJOR  ;08459          ;938450057      
CALVO DELGADO, JOSE MARIA                            ;CARRER   GENERAL O'DONNELL        59;SANT BOI DE LLOBREGAT     ;08830          ;936400219      
TORNERO BERGOS, SONIA                                ;PLA�A    AJUNTAMENT               9;SANT BOI DE LLOBREGAT     ;08830          ;936610019      
VAQUER FONTANET, ANNA                                ;CARRER   MAJOR                    23;SANT BOI DE LLOBREGAT     ;08830          ;936400006      
DRAPER ARENAS, M/DRAPER CASAS,MA. DEL MAR            ;CARRER   MAJOR                    115;SANT CELONI               ;08470          ;938670374      
SANCHO CASADESUS, CONCEPCIO                          ;CARRER   MAJOR                    125;SANT CELONI               ;08470          ;938670167      
OLLE PADROS, EULALIA                                 ;CARRER   SANTA MARIA              27;SANT CUGAT DEL VALLES     ;08172          ;936741531      
MAGRO SALAVERT, MARIA DOLORES                        ;CARRER   SANTIAGO RUSI�OL         38;SANT CUGAT DEL VALLES     ;08172          ;936740645      
GONZALEZ PEREZ,E/GARCIA FERNANDEZ,S                  ;PLA�A    DOCTOR ROBERT            8;SANT FELIU DE CODINES     ;08182          ;938660097      
PARES TEMPLER, SYLVIA                                ;CARRER   JOAN BATLLORI            8;SANT FELIU DE LLOBREGAT   ;08980          ;936668867      
