Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
67686;F08008793;ROYO BARGUES, TERESA;BARCELONA;TUSET;8006;CARRER;34;932094541;BARCELONA 5-A
67687;F08008803;GIRO PEYRA, MARIA J./FORNS GIRO, FERNANDO;BARCELONA;MARE DE DEU DEL PORT;8038;CARRER;234;933322194;BARCELONA 3-H
67688;F08008810;CASTELLVI ALTIMIRA, JOSEP;BARCELONA;CARDENAL SENTMENAT;8017;CARRER;35;932031037;BARCELONA 5-C
67689;F08008828;ANDRADES FRANCIA,A/ANDRADES FRANCIA,J.L.;HOSPITALET DE LLOBREGAT L';GENERAL PRIM;8902;CARRER;37;933314046;HOSPITALET DE LLOBREGAT 5
67690;F08008835;PONS CASALS, PATRICIA;SANT PERE DE TORELLO;SANT FELIU;8572;CARRER;1;938584035;VALL DEL GES, LA*
67691;F08008842;TOUS TREPAT, SALVADOR/TOUS TREPAT, XAVIER;BARCELONA;JORDI GIRONA;8034;CARRER;2;932038493;BARCELONA 4-C
67692;F08008867;FANDO REYNES, NEUS;BARCELONA;JOAN MIRO;8019;CARRER;24;933071987;BARCELONA 10-A
67693;F08008874;SAZ CARAZO, RAQUEL I MERCEDES;BARCELONA;VILADROSA;8031;CARRER;51-59;933546305;BARCELONA 8-E
67694;F08008881;ENCISO IGLESIAS, ISABEL;BARCELONA;SEGLE XX;8032;CARRER;61;934553082;BARCELONA 7-G
67695;F08008909;LAVILLA BIARGE, RODOLF (HEREUS(;BARCELONA;ARGULLOS (PONT DRAC);8016;CARRER;49;933540304;BARCELONA 8-D
67696;F08008916;FERNANDEZ OROMI, JORDI;BARCELONA;FELIP II;8027;AVINGUDA;186;933528102;BARCELONA 9-C
67697;F08008923;ARANDA GUERRA, EVA;BARCELONA;ESCOCIA;8016;CARRER;64-66;933528503;BARCELONA 8-J
67698;F08008930;FONTANA MENDEZ, PILAR;HOSPITALET DE LLOBREGAT L';MARE DE DEU DEL PILAR;8906;CARRER;8;932491278;HOSPITALET DE LLOBREGAT 7
67699;F08008948;ESTIVILL SENTIS, ANNA;BARCELONA;SANT RAMON NONAT;8028;AVINGUDA;23;932490311;BARCELONA 4-C
67700;F08008955;GOTZENS BUSQUETS, JAUME;BADALONA;MARTI PUJOL (LOCAL 3);8911;AVINGUDA;230-246;933844754;BADALONA 2
67701;F08008962;FOLCH FLORES, DAVID;BARCELONA;FATIMA;8032;CARRER;10;932292630;BARCELONA 7-F
67702;F08008970;MARQUETA ARIÑO,MARIA CONCEPCIO/GARCIA MARQUETA,ESTER;BARCELONA;SELVA DEL MAR;8019;CARRER;34;933071208;BARCELONA 10-B
67703;F08008987;ORRIOS OLMO, FATIMA MARIA;BADALONA;FRANCESC LAYRET;8911;CARRER;205;933892113;BADALONA 2
67704;F08008994;CASELLAS ALBERCH, PERE;SANT ADRIA DE BESOS;ANDREU VIDAL;8930;CARRER;2;933811143;SANT ADRIA BESOS 1
67705;F08009003;ALCALDE ORELLANA, MARIA GRACIA;BARCELONA;MARAGALL;8041;PASSEIG;75;934369201;BARCELONA 7-G
67706;F08009010;SOLORES GIRON, MARIA BELEN;CORNELLA DE LLOBREGAT;LES ORIOLES;8940;CARRER;6;933760194;CORNELLA DE LLOBREGAT 4
67707;F08009028;BLANCO HERNANDEZ, MARTA;BARCELONA;BERTRAN;8023;CARRER;39;934172596;BARCELONA 5-E
67708;F08009035;COLLADO ANDANUCHE, MONTSERRAT;BARCELONA;JOAN GUELL;8028;CARRER;174;934904575;BARCELONA 4-A
67709;F08009042;OLLER DOLCET, HELENA;BARCELONA;LLORCA (LOCAL 1);8038;PLAÇA;5;933320334;BARCELONA 3-H
67710;F08009050;TRIAS JUNCOSA, ISABEL;HOSPITALET DE LLOBREGAT L';ROSELLO;8903;CARRER;33 BIS;932497433;HOSPITALET DE LLOBREGAT 4
67711;F08009067;LEON BERROCAL, RONALD ELISVAN;BARCELONA;DE SARRIA A VALLVIDRERA;8017;AVINGUDA;82;932031179;BARCELONA 5-D
67712;F08009074;MORTE GALVE, MERCEDES;TERRASSA;MONTCADA;8223;CARRETERA;144-146;937838340;TERRASSA-G
67713;F08009081;SABRIA PAU, ANA M.;TERRASSA;AMPLE;8225;CARRER;25;937353347;TERRASSA-E
67714;F08009099;NAUDIN FERRER, ANGELS;BARCELONA;PROVENÇA;8025;CARRER;536;932361397;BARCELONA 2-I
67715;F08009109;MARTINEZ GARCIA, M. LLUISA;BARCELONA;LA GLEVA;8006;CARRER;9;932097712;BARCELONA 5-B
67716;F08009116;LLINARES RECHE, TERESA/SANZ LOPEZ, M. CARME;BARCELONA;BISMARK;8024;CARRER;2;932842324;BARCELONA 7-A
67717;F08009123;CHACON PERELETEGUI, JOSEP LLUIS;BARCELONA;INDUSTRIA;8025;CARRER;128;933473316;BARCELONA 2-K
67718;F08009130;BAQUES ROVIRALTA, JOSEP;SABADELL;ONZE DE SETEMBRE;8208;AVINGUDA;61;937252330;SABADELL 2
67719;F08009148;DONADA BARS, BERNAT;BARCELONA;CALABRIA;8029;CARRER;242-244;932301392;BARCELONA 2-C
67720;F08009155;ALVAREZ CANDAU, ANNA MARIA;BARCELONA;CASANOVA;8011;CARRER;93;934537930;BARCELONA 2-E
67721;F08009162;GARRELL CAPDEVILA, JOAN;SABADELL;BORRAS;8202;CARRER;8;;SABADELL 2
67722;F08009170;GUERRERO ANARTE, GLORIA;TERRASSA;SANT ANTONI;8221;CARRER;21;937839927;TERRASSA-A
67723;F08009187;GINE MASSA, M.PILAR;BARCELONA;SARRIA;8017;AVINGUDA;125;932048263;BARCELONA 4-B
67724;F08009194;GATELL TORTAJADA, MONTSERRAT;BADALONA;GUIFRE;8912;CARRER;329;933870163;BADALONA 3
67725;F08009204;MERCE SORA, ANABEL;SABADELL;SANT CUGAT;8201;CARRER;95;937254325;SABADELL 1-A
67726;F08009211;BARADAD SOLANA, JOSEP LLUIS;SABADELL;DE LA CREU DE BARBERA;8204;PLAÇA;8;937102846;SABADELL 6
67727;F08009229;RODRIGUEZ GARCIA, ISABEL;BARCELONA;OLESA;8027;CARRER;26;933497586;BARCELONA 9-C
67728;F08009243;NAVARRO SUÑER, M.GISELA;HOSPITALET DE LLOBREGAT L';ISABEL LA CATOLICA;8906;AVINGUDA;73;932495099;HOSPITALET DE LLOBREGAT 9-PUBILLA CASES
67729;F08009250;SANCHO SOTO,FECUND/MA JOSEP;HOSPITALET DE LLOBREGAT L';TORRENT GORNAL;8904;AVINGUDA;58;932492601;HOSPITALET DE LLOBREGAT 3
67730;F08009268;MESTRE ROVIRA, ESTHER;BARCELONA;DOCTOR PI I MOLIST;8016;CARRER;66;933528002;BARCELONA 8-B
67731;F08009275;GRANERO SAN MARTIN, ESTHER VANESA;BARCELONA;MARINA;8013;CARRER;121;932451645;BARCELONA 2-H
67732;F08009282;SALLA PALLAS, JOAN;BADALONA;SALVADOR SEGUI;8914;CARRER;4;933873916;BADALONA 7-B (LA SALUT)
67733;F08009290;COVES FIGUERAS, MONTSERRAT;BADALONA;CREU;8912;CARRER;89;933895264;BADALONA 2
67734;F08009300;FIGUERAS REMOLAT, XAVIER;TERRASSA;PI I MARGALL;8224;CARRER;18;937880464;TERRASSA-E
67735;F08009317;BOADA SOLSONA, IMMACULADA;BARCELONA;NUMANCIA;8029;CARRER;169;934394383;BARCELONA 4-B
67736;F08009324;GAY SIVILLA, ANTONIA;BADALONA;MARTI PUJOL;8911;AVINGUDA;06-ag;933895303;BADALONA 2
67737;F08009331;MIRALLES COLOMINA, ESTHER;BARCELONA;BERTRAND I SERRA;8022;CARRER;16;934178138;BARCELONA 5-B
67738;F08009349;MASIP MASIP,PILAR;BARCELONA;HORTAL;8032;CARRER;41;933093201;BARCELONA 7-C
67739;F08009356;GARCIA LLORENTE, CARLOS;BARCELONA;VALERO;8021;CARRER;10;932010490;BARCELONA 5-A
67740;F08009363;ROCA BERMUDEZ DE CASTRO, CARLES F.;BARCELONA;SOSTRES;8024;CARRER;15;932144657;BARCELONA 6-C
67741;F08009370;VILARROYA OLIVER, NURIA;HOSPITALET DE LLOBREGAT L';LA TORRASSA;8903;RONDA;120;934228191;HOSPITALET DE LLOBREGAT 4
67742;F08009388;LLOP TALAVERON,RAMON;SABADELL;PONENT;8202;RONDA;173;937278411;SABADELL 1-A
67743;F08009405;BOLDU BAGUDA, NURIA;BARCELONA;PALAMOS;8033;CARRER;58;933536692;BARCELONA 8-I
67744;F08009412;SITJA GOBERN, JOAN;BARCELONA;PARDO;8016;CARRER;17;933528403;BARCELONA 8-J
67745;F08009420;ALBERDI ERAUSQUIN, IÑIGO;BARCELONA;DIAGONAL;8019;AVINGUDA;84-86;933071340;BARCELONA 10-C
67746;F08009437;CAMPO JUAN,LAURA;BARCELONA;SOVELLES;8038;CARRER;11;932232593;BARCELONA 3-C
67747;F08009444;SUBIETAS MESALLES, SUSANNA;BARCELONA;MERIDIANA;8030;AVINGUDA;510;933451342;BARCELONA 9-I
67748;F08009451;CLAVE BULLICH, ELISA;BARCELONA;PEDRELL;8032;CARRER;121;934291664;BARCELONA 7-C
67749;F08009469;GARCIA BROCOS, JOSE;HOSPITALET DE LLOBREGAT L';MARCEL·LI ESQUIUS;8906;CARRER;40;932490122;HOSPITALET DE LLOBREGAT 9-PUBILLA CASES
67750;F08009476;HERNANDEZ PEREZ, PAULA;BARCELONA;FELIU I CODINA;8031;CARRER;45;934276219;BARCELONA 7-F
67751;F08009490;GAZULLA ABIO, PILAR;BARCELONA;ANGLI;8017;CARRER;4 BIS;932039179;BARCELONA 5-C
67752;F08009500;DOMINGUEZ GARCIA, ANNA MARIA;BARCELONA;SANT GERVASI;8022;PASSEIG;75;932479241;BARCELONA 5-E
67753;F08009518;MARIN SANCHEZ, MA. ENCARNACION;BARCELONA;MANILA;8034;CARRER;49;932036748;BARCELONA 4-B
67754;F08009525;MARTIN SANCHO, M.TERESA;BARCELONA;SANTA ROSALIA;8032;CARRER;82;934291090;BARCELONA 7-E
67755;F08009532;RAGULL AVILES, XAVIER;TERRASSA;PRAT DE LA RIBA;8222;CARRER;4;937853644;TERRASSA-A
67756;F08009540;TRILLO TEJEDOR,YOLANDA;BARCELONA;MONTSANT;8031;CARRER;31-33;934294113;BARCELONA 8-C
67757;F08009557;MARTINEZ ALEJANDRE, JOSE ANTONIO;SANT ADRIA DE BESOS;VIA TRAJANA (BLOC A3, locals 3 - 6);8930;CARRER;20;934622572;SANT ADRIA BESOS 1
67758;F08009564;ESCARRA CALDES, PERE;SABADELL;PINTOR VILA CINCA;8203;CARRER;89;937162311;SABADELL 2
67759;F08009571;VIVES PADROS, JOSEFA;BADALONA;JOAN VALERA;8914;CARRER;197;933880504;BADALONA 7-A (ST.JOAN LLEFIA)
67760;F08009589;IGLESIAS CERDA, ELISABETH;SABADELL;MATADEPERA;8207;AVINGUDA;82;937162246;SABADELL 3-A
67761;F08009596;CARBONELL UBEROS, CARLES/MARTINEZ ROMAN, M.SONIA;BARCELONA;CONCILI DE TRENTO;8020;CARRER;194;933148958;BARCELONA 10-J
67762;F08009606;BARAU GERNES,MERCE/TRIBO ALCOBE,GEMMA;BARCELONA;MERCÈ;8024;RAMBLA;26;932133529;BARCELONA 6-E
67763;F08009613;MUCHART MASALLER, ADRIANA;TERRASSA;PONENT;8225;CARRER;49;937354138;TERRASSA-E
67764;F08009620;JORDANA GISBERT, ROSA;SABADELL;DE PRATS DE LLUÇANES;8208;CARRETERA;208;937162477;SABADELL 2
67765;F08009638;COROMINAS RIQUE, CRISTINA;SABADELL;DE PONENT;8206;RONDA;1;937269704;SABADELL 1-A
